"","kMEllow","kMEown","kMEue","kMErquoise","kMEey"
"ALCAM",-0.0493374916233736,0.215130750299844,-0.113455006362518,0.364502233025488,0.0982824198357228
"CD44",-0.229998965788227,-0.141161846887759,0.845486960873559,0.0854814612728936,-0.0438390678846983
"CD5L",-0.287696896451293,-0.319967489742101,0.595775079373863,0.54409321081905,0.0198329027146199
"CEP131",-0.0832114774725719,-0.227598231014552,0.101887728995981,0.479843326301863,-0.0348272165381206
"CP",0.163232377854589,0.395718572219855,-0.019939867009004,-0.022182737700633,0.17929157670731
"BCHE",-0.131857219664235,-0.128760377456504,0.32356441649648,0.724832656520679,-0.0754473188218866
"CSHL1",0.0157298719789069,-0.048079282538867,0.597007606908243,0.0286400579967763,-0.425879075692271
"CLU",-0.572204662642464,-0.0289088504903484,0.196838122809554,0.555453144565796,-0.218841276931904
"F9",0.000943356888391619,-0.115828051602581,0.28747508565528,0.894774198019289,0.132875971993494
"F5",-0.167166109094932,-0.0492443167314612,0.786471291920877,0.301188439579159,-0.0648467682925958
"F7",-0.237407986928477,0.431677359559955,0.828057439101365,0.475137209774359,0.00797141701950688
"F10",-0.130229610940614,-0.198962127245743,0.0487462420993357,0.932300260691967,0.056957042709482
"F11",0.0994243173541251,-0.199915825480388,0.11524490212148,0.969699711795641,-0.0757029331672509
"F12",-0.0422804443082742,-0.131772363303697,0.0830343661106944,0.963058473329493,-0.127578865422614
"F13A1",0.606163979141961,0.415618718065744,0.292765647273883,0.325504964694202,-0.235063491295082
"F13B",-0.232059360491387,-0.167442601862279,0.344747862167043,0.42567597959796,0.128480172387376
"CFL1",0.974336621396435,-0.0366245312748541,-0.123968126798851,0.0187763132434251,-0.0114053479282858
"COL1A1",-0.116585645801084,0.285962372770959,0.731611335658601,-0.0448036286703119,-0.291829097605982
"C1QA",0.0188239771179174,-0.227108729060013,0.243765403066946,0.97177811889198,-0.0789784472733217
"C1QB",-0.190792499962975,-0.137109341382168,-0.261297602712692,0.233487732080036,-0.057946151295262
"C1QC",0.0427170609379939,-0.253083050420311,0.140029538322241,0.953762543568691,-0.102390805404359
"C1R",-0.0655489096821118,-0.213979352607156,0.134167295693908,0.734988587725749,-0.157847682860584
"C1RL",-0.431205855767169,0.388255108354459,0.538697200869836,0.452281864169068,-0.0436364495592964
"C1S",0.0541060398209658,0.00631780849218795,0.185857840941805,0.808213427578435,0.253846960418527
"C2",0.322613145589974,0.0585558961029681,0.0547098996458112,0.591232039507101,-0.0866673114431434
"C3",0.460743503781988,-0.251661485560904,-0.0131235041938965,0.663470036039839,0.0547312876685508
"C4A",0.239883404156169,-0.221534849341194,-0.1008882027139,0.780427788083432,0.300698636442042
"C4B",0.00396343609063404,-0.156634641459114,-0.0417297867370975,0.832020004427939,0.0118958169289156
"C5",-0.136308046431644,-0.0881488956974638,0.215980904932733,0.954673671176501,-0.0376349951582735
"C6",-0.0226372001085827,-0.109549396726859,0.352485788237301,0.90421940663762,-0.0561469560101597
"C7",0.222453186182164,-0.281325927319409,0.171636193415435,0.632726764325176,-0.183228775187775
"C8A",0.0960110191288721,-0.204194202873699,0.273453361667361,0.966672760460063,0.0137361983527039
"C8B",0.0405708599407474,-0.132828095681547,0.232177765145615,0.921886696186336,-0.133014203500247
"C8G",0.10046125954919,-0.0985078692841898,0.30400438240938,0.965856236562685,-0.0223524202995822
"C9",-0.071621445810056,0.0849954637127576,-0.0267822053590902,0.742317131376225,0.0447042663220353
"CFB",0.20503232043572,-0.0561165504511448,0.185275875334621,0.734383387454098,-0.0426268808980906
"CFH",0.082919652557146,-0.019050846591283,-0.107639616914422,0.829661162669737,-0.141026230068425
"CFHR1",0.178209785797936,-0.370514450568638,-0.458634492399112,0.211255055979375,0.201207538957716
"CFHR2",-0.301111491680208,0.627551042364473,-0.287516354908863,-0.194525945523059,-0.0249682324791708
"CFHR3",-0.216827146717393,0.057125264676279,-0.168943176519669,0.628921569854982,-0.211534423619596
"CFHR5",-0.347904333945265,-0.160882369374273,-0.283457053505198,-0.293057549836551,-0.247798127815216
"CFI",-0.0727875493824935,-0.0634877730760931,0.0187796727126877,0.928394935189577,-0.138249931948904
"SERPINA6",0.127205777555031,0.0497502812441809,0.123053538558264,0.373236817456158,0.298836563184318
"CRP",0.0672547667119074,0.971209243759374,-0.0158236862709368,-0.213753995671568,0.152520370612135
"CRISP3",-0.269111887117174,-0.225605829585265,0.459355332893651,0.268619235052017,0.195433818896739
"DCD",0.218435251337092,0.867567962131992,0.163766926147876,-0.0186468131136542,-0.20259197262394
"DSG1",-0.117105674076926,-0.134654018088893,-0.0594177854433449,-0.194071624198788,0.396826424135897
"DKK3",-0.226760200985389,0.488098395998876,0.690207839571398,-0.344537920052602,-0.0527398881046448
"DPP4",0.0996279175439636,-0.349906997762654,0.0339003389964439,0.127525298695127,-0.466797061066834
"DBH",-0.197888558845593,-0.138756101459598,-0.197133123752769,-0.306573339020424,-0.190196747068082
"DNAL4",0.14443191140231,0.0353199054478783,0.83674148529339,0.146237700719205,0.0174214234658805
"MSL2",-0.127465710889646,0.176027032875671,0.348375264800157,0.13025117370968,0.0930558616200038
"EFEMP1",-0.00433634685947103,0.0878453972403733,0.903966366511629,0.550795546312638,0.166095054827047
"ENG",0.117905723938353,0.755007755854772,-0.105898732168943,-0.395496193916967,0.207806598806762
"PROCR",0.0872432488164101,-0.310413571654092,0.209092936291024,0.257895111007241,0.297279090274237
"SLC1A2",0.0567360216574207,0.618086569309637,0.52486383237029,-0.0626660200194596,0.18541836725957
"ECM1",-0.303444316920738,0.246821384089939,-0.306027358642542,-0.262861330637337,-0.313214948300546
"FBF1",0.0621768861123219,0.744017089366845,-0.0167519001424816,-0.187915512348458,-0.000596368482652709
"FBXO30",-0.162204587923737,-0.155824230270173,-0.22579353636967,-0.0733075571494348,-0.0149616398783381
"FTL",-0.00733856439220592,0.231968769277846,0.0304862686010449,0.766939933586997,0.0396181433391071
"FETUB",-0.488507816161488,0.125026431673624,0.180326771465575,0.270466255591316,0.306142264563142
"FGA",0.21045293868051,-0.200899318230503,0.0167134839212955,0.914505864526285,0.0397888234189479
"FGB",0.225687684750486,-0.112618473472804,0.0670863039012326,0.885799144674681,-0.00542229077473965
"FGG",0.14207273488984,-0.185099028701397,0.196186670046489,0.862392770506488,0.0100138694855882
"FGL1",0.118305027532116,-0.0544357494643884,-0.101559749059317,0.591335864245309,-0.234888300896921
"FN1",0.0861539741158019,-0.258927819791342,0.0167678708373068,0.860328272044279,-0.0309524721639239
"FBLN1",-0.290578007956482,0.357355733444528,0.475846044240304,0.539412428015919,0.263014292703217
"FCN2",-0.350216538060153,0.599984506949661,-0.0443831409042448,-0.564683481788227,-0.123765416811598
"FCN3",0.0595367605702623,-0.367483805586541,0.262846809347786,0.534082304881936,-0.0931529628867795
"FLG",0.116841571481779,0.790098509396704,0.0823358561361823,0.365451768158077,0.0529503965348218
"FLG2",-0.297989789916858,-0.00209172069332256,-0.276038880038986,0.496654872530186,-0.281974745017675
"FLNA",0.710140339740137,0.136020301607363,-0.141810163417971,-0.0292129993327892,0.201484834054361
"FLOT1",-0.114645849771121,-0.227796707365652,0.117321386814173,0.537861811304413,-0.0666651890952188
"FMN2",0.100597977645202,0.215289501628221,0.237168616018343,0.480517942967331,0.536700900512152
"CCNE1",0.839811484895468,-0.0248738870170057,-0.110854660125855,-0.0668187931326467,0.00593016125854468
"LGALS3BP",0.126714610102363,-0.0987326389146408,0.601642837158868,0.555985977974421,0.0643235969924326
"GSN",-0.157206181395606,-0.24209951413443,0.609370380959963,0.789485288149976,-0.0451029818423597
"GPX3",-0.212639476760337,0.0310713532779065,0.350156134630933,0.585282321394464,0.553895084420629
"GAPDH",0.134913216460621,0.423726158993809,0.402319449996317,0.408923548439097,0.0161236909513581
"GOLM1",-0.086569370344352,-0.0140590949525912,-0.420755507642792,-0.351637801270795,0.118674926552033
"GZMH",0.336359676591653,-0.273769303788698,0.0537116849721472,0.857321121246832,-0.150928938256997
"HP",0.487976691293815,0.0543148479942872,-0.569282301220232,-0.391373883020711,0.251367662642993
"HPR",-0.106560375369968,-0.0404499703567454,-0.227600753219677,-0.0509777249246392,-0.218154903080704
"HBA2",-0.342743550268818,0.488364595707268,0.184606453153291,-0.0453126131168275,-0.175397817750458
"HBB",-0.210865998983868,0.627422958805701,0.544937624895735,-0.102728057151809,-0.117508996518318
"HBD",-0.095479002159028,0.307183149915589,0.847292269040702,-0.00930538825039343,-0.169626736834848
"HBG1",-0.0200130950019816,0.542835141431012,0.374579144036292,0.148605826875527,-0.0325245164464081
"HPX",-0.0438474142046303,-0.219476566874772,0.197219451507901,0.965188933955275,0.12139482187638
"SERPIND1",0.140944933243573,-0.283351272650568,0.253815341279919,0.681688839050214,0.0653168695267774
"HGFAC",0.000787991380895982,0.0315772976603493,0.766988046070117,0.538201032475359,-0.209636921778145
"MST1",-0.201113251369644,-0.31414495862774,0.0396496168038362,0.717037279206934,-0.261214548958376
"HRG",-0.250878570559832,0.0318356614091831,0.583344114832754,0.333597521004832,-0.139646516179784
"HLA-A",0.0195952447367627,0.0525021836570395,0.909817701664933,0.0495146597547774,0.0177510100072221
"HRNR",-0.148727928246755,0.0983679728715074,-0.383345519511323,-0.334294001401362,-0.307667968532066
"HMMR",-0.00115919951925765,-0.34054228206341,-0.202345533927407,-0.15556817340351,-0.430864486121375
"HABP2",-0.0324744795128654,-0.0579908950924042,-0.103280395761823,0.740752779172042,0.114699795962235
"FCGBP",0.0163251154108594,0.880192239763935,0.390937689614934,0.0873105260091515,0.0812085575661654
"IGHD",-0.135265943874009,0.973655408394555,0.065936024599426,-0.0792904620051678,0.0836412476648026
"IGHV1-3",0.606643246989437,0.0866033163754307,0.000190603411621215,-0.00451159897789075,-0.193363418666126
"IGHV3-11",0.0628330275248169,0.502935811189673,0.532820198380493,-0.130277346439869,-0.382206016541967
"IGHV3-15",0.420707396010805,0.482241195704143,0.330382650968057,-0.0428435662539518,-0.361305564516584
"IGHV3-72",0.464653911836382,0.380083600781487,0.4419953595488,0.167534633044744,-0.152560506971678
"LOC102723407",0.19725517377045,-0.112887574844295,-0.0967027320529632,0.491313389487416,0.0187527127562558
"JCHAIN",-0.164820131730447,0.0052425941571836,0.671626900747629,0.283095812844363,0.18611707548864
"IGKV1D-33",0.0896277436067902,0.625597208535055,0.29083003852807,0.244262824530376,-0.206241171813903
"IGKV2D-28",-0.0797396047482599,0.800692978378632,-0.0379707492460093,-0.354214826076019,0.0675279132940994
"IGKV2D-40",-0.180209045187064,0.436036641029691,-0.168339713394433,0.053590588227004,-0.357480520839192
"IGKV2D-29",0.780932955325262,0.0351370090661137,0.0922629002587218,-0.391485361648891,-0.0388501511468301
"IGLV10-54",0.96617667661037,-0.0887247232082487,-0.188829263002512,-0.0532131115865989,-0.116643965852745
"IGLL1",-0.447963539515056,0.307756317188721,0.731884957690735,0.0423136654494098,0.0159101611666786
"IGLL5",0.154085195324608,-0.24763772718431,0.237982631806867,-0.102049828073074,-0.26974413354318
"INCENP",-0.0139661017114722,-0.224387137755499,-0.0572353000702268,0.238439218885977,-0.100516835919522
"IGFALS",-0.0711438494092092,-0.0951975152937777,0.427782563850588,0.904063460683817,0.0656841217454121
"ITIH1",0.017840838524839,-0.416861487772455,0.179720365201872,0.842470752727249,-0.0352195946021494
"ITIH2",-0.0851083193320214,-0.332661933605887,0.266457829809543,0.926372468871714,-0.0526885909532333
"ITIH3",0.403705061606186,0.364256797451287,-0.163913278460013,-0.0798990318020261,0.197542604884051
"ITIH4",0.30645453716745,0.0689699562342766,-0.0604454813330659,0.374240920883875,0.119630166682763
"ICAM1",-0.118269106983053,0.0462981124638392,0.938637475636319,0.0170713161169338,-0.150338858620906
"ICAM2",-0.0441310476323991,0.263603472162314,0.750074583500011,0.0955708972740084,-0.0980622876552529
"IL1RAP",-0.201470622247415,0.794255647043719,0.00417945716031572,-0.382467787197811,0.00289106495712611
"INVS",0.278667658725645,-0.15551754185528,-0.0464658445462361,0.466539882903066,0.211895129370283
"SERPINA4",-0.213687397763721,-0.0200961426917282,0.616678766012543,0.848935210669189,-0.0978958648777278
"KRT31",0.0539101090339912,-0.22547020044969,-0.167519013521068,0.674178654587586,-0.109843740794397
"KRT10",-0.239356764050258,0.618279636689993,-0.330446454553802,0.164642620135156,0.195999566659214
"KRT14",0.698078734345334,-0.451305334220836,-0.0971189463466589,0.069823453503174,0.257819285410097
"KRT16",-0.21340577067478,0.735239766207766,-0.136153965272453,-0.254038474298428,0.549518878453503
"KRT17",0.548320322369166,0.699938124195863,0.290044002762419,-0.319065706501541,0.0278451026309755
"KRT19",0.923052921693895,-0.267068192120882,-0.01542969950445,-0.129580406049073,0.00865111121934896
"KRT24",-0.230197270170385,0.73908191704806,0.157791762499106,0.0147958245974436,-0.0116294921966318
"KRT25",-0.0886996722365385,0.665768593750613,-0.295644507697755,-0.0520899420438215,0.0264657206751872
"KRT26",-0.159157583858427,0.43459570202613,-0.34180343238205,0.0382415136569765,0.00480507295879057
"KRT27",-0.0886996722365385,0.665768593750613,-0.295644507697755,-0.0520899420438215,0.0264657206751872
"KRT28",-0.0960300417195317,0.707191501071329,-0.285462375258855,-0.0636101684275376,0.0757405967258833
"KRT9",-0.046105192507608,-0.0251388731073934,0.0969933435106682,-0.283709194840042,-0.405831775012036
"KRT1",0.116399171586075,0.0639656025066686,-0.426302801935629,-0.0730770946108366,0.749179226768406
"KRT77",0.247168570971196,0.161616017714292,-0.016780137820195,-0.077981606685087,0.812167263509101
"KRT2",0.0360437836669857,-0.134822626728527,-0.295284924346501,0.0223658414628935,0.910892091437354
"KRT4",-0.265829886627362,0.0482809179042585,-0.257204249514147,-0.189247751073955,0.866617380205136
"KRT5",-0.265511510009995,0.403930540585043,0.460452400729035,0.184095486240095,-0.277072176457143
"KRT6A",-0.328942179478663,0.759382993139419,-0.0155483473415603,0.299006836172119,0.0295884669146787
"KRT6B",-0.128059587211524,-0.172345423527974,-0.278059729330378,-0.191788786793404,0.830703920447187
"KRT75",-0.0286507606154026,-0.210849761890007,-0.261514046714261,0.198672175946172,0.888446738336306
"KIF1B",-0.226753261515759,0.219855608142879,0.278757233274159,-0.378900572284125,-0.317876671452327
"KNG1",-0.0531127408429877,-0.244248435378479,0.300371366499319,0.630232581297205,0.276459048439023
"LMNB1",0.133771325665001,-0.0908197917177939,0.70773030711211,0.110741751499634,0.0702171761148389
"LRG1",0.0398777161073555,0.52686162532649,0.0726816063470547,-0.304276758145465,0.231177775601841
"SERPINB1",-0.0892881642278709,-0.0364311739991552,0.15610135311382,0.783114795808458,-0.192082383673372
"AJUBA",0.314779741004409,0.25061133185674,-0.463344876296154,-0.482996363796748,0.346279324273294
"LSAMP",0.106909989863188,-0.243133542408563,0.264126706858433,0.811247284311095,-0.311027636192149
"LCN1",0.027737826058044,0.92097793620322,-0.000611890715309336,-0.120941618244131,0.160821005707545
"LBP",0.508983920216471,0.170096578248157,0.19089449905326,0.488193343437974,-0.0120333297534872
"FCGR3A",0.520051942652121,-0.287705873159457,0.359060468082659,0.469150379055407,-0.303576798950776
"FCGR3B",-0.05469902602728,-0.0317912916779662,0.300320269738666,0.526770231213143,-0.332597223863863
"SELL",-0.349497205640537,-0.141437703295187,0.284672893217292,0.0288442775525179,-0.239745976695509
"LUM",-0.300934353316285,0.0812272726113127,0.801653912347664,0.162160286414552,0.358320457700497
"CD58",0.114430455997743,0.334377382047441,0.809924261728479,-0.149096289122429,-0.118283248051786
"LAMP1",-0.0713239132949003,0.335127391911056,0.797570681648908,-0.13218693675221,-0.178865045523769
"LAMP2",0.178039160065294,0.355843582481388,0.586114547991203,0.183557999271683,-0.0584073322865393
"MASP1",-0.155471927698924,0.511696984281057,0.291112564617769,0.0366348098765749,0.333574607547521
"MASP2",0.363823133525731,-0.0536176815729849,-0.0235667691972119,-0.138647253754768,-0.182347447856476
"MBL2",0.416754511912112,-0.28415393512002,-0.00406106607346199,0.4955820680605,0.105795120999694
"DGCR8",0.00475312620619363,-0.099285134738523,0.285363987824887,0.0971936861033142,0.421072878630073
"CD14",0.18305133166525,-0.152384400670555,0.509326313613952,0.481446413227285,-0.178198537487478
"MMRN2",-0.364411855550154,0.498843688486428,0.775266265333321,0.219225404209287,-0.14546881129768
"MYH13",0.390339327810844,-0.232546721825242,-0.345845838090121,0.0624221227717754,-0.246509560586483
"MTPN",0.867805206808564,0.0536864805095748,0.0322335265515023,-0.337746307911005,0.0480105532791975
"DDAH1",0.079468712203117,-0.151171288407862,0.108309205908514,0.576662598223058,-0.00624008949339471
"PGLYRP2",-0.203635651277196,-0.327739730768363,0.456663779932729,0.804440085245778,0.142674560257182
"NCAM1",-0.388126856346293,0.0829465760070465,0.873661405983836,0.323281579766083,-0.0684330266638958
"CHL1",-0.0269060038621338,0.197191997549649,0.467795597508063,-0.0382586652695164,0.794094457223301
"DEFA1B",-0.219999199604304,0.364101673792624,0.0893704675206507,-0.0500782373864535,0.870670056366769
"DEFA3",-0.219965405463157,0.364121419910746,0.0894376828278025,-0.0500278109503593,0.87072456795916
"NFKB1",-0.0976016798680109,0.680593579424043,-0.13335774740618,-0.408997617347626,-0.232121679028059
"AMY2A",0.321260695980608,0.0416106778845529,0.797413238271794,-0.0233280018295897,-0.000354104747728356
"VNN1",-0.0295065594097097,0.257518465300489,0.555516855155179,-0.165440950873212,0.00325471120549109
"PI16",-0.136310257221812,-0.0702230089394509,0.818754808430103,-0.00802208725981098,0.0816239131520535
"PPIA",0.0464837468511521,0.0143184292911823,0.0731391614215321,0.74385698218048,-0.0410666604672501
"POSTN",-0.269233883150185,0.420111629147157,0.694695719679709,0.0311517157032402,-0.050011661053312
"PRDX2",-0.118764245621942,0.595422660427065,0.795344002518473,-0.00704347397901853,0.0123875073466354
"LCAT",0.00883929946862024,0.0984761265516875,0.89878187475262,0.155795329585912,0.0350493539494929
"PIP5K1A",-0.111317761447102,0.221481308860705,-0.22303141032118,-0.0858541933380542,0.946050838726295
"PIP5K1B",-0.110546085447108,0.221462835633722,-0.223127896645458,-0.0859298219536444,0.94611641969508
"PIP5K1C",-0.109796671460628,0.221444764022819,-0.22322145724544,-0.0860032106957886,0.946179535301554
"GPLD1",-0.0695679633187106,0.0584110601966104,0.850659904704985,0.381197683643018,0.255524017843954
"PLTP",-0.302131168970107,-0.0667698557970483,0.285088357803292,0.813985439405088,0.041290191969882
"SERPINF1",-0.000226650311348418,0.109761086602162,0.54761229700334,0.817654200567392,0.193768884403794
"KLKB1",-0.0574953037384285,-0.178404272761049,0.250343411179639,0.946523261602826,-0.144265125220122
"SERPING1",-0.367168447850706,0.0347899264127423,0.229709432287124,-0.29651659312997,-0.0828111579326196
"PLG",-0.0832392427812092,-0.206114749045888,0.255891487156672,0.978478878017059,-0.0864349294917939
"PLGLB1",0.178893746934484,-0.268526246995153,-0.0751204055452519,0.576987632033503,-0.205188135830963
"LCP1",-0.431281049510552,0.613435026513948,0.217588576791355,-0.450409037845462,-0.19150578995458
"PLS3",-0.28426711785025,-0.383653389901607,-0.134007127785913,0.443166886780759,-0.0443668582669681
"PPBP",-0.233237759364736,0.775142372439181,-0.241175006452894,-0.443683419837764,-0.111536037976343
"PF4",-0.0165890442484366,-0.342888737775241,-0.346620888544379,0.0151107515060787,0.42359225563151
"GP1BA",0.10428691809126,0.468212308501622,0.810276299956576,0.1472842652008,-0.116306500661499
"PVR",-0.277081647078664,-0.324925904146832,0.139015075863688,-0.368009595904541,0.353420501137262
"PIGR",-0.210707004720785,-0.172078945060591,-0.109303427262919,-0.110693775107303,-0.207908023534033
"KCNRG",-0.232312311368096,-0.175029323466165,-0.102640645593341,0.65340206649202,-0.159703005017314
"POTEE",0.991254104303913,-0.0944707544117691,-0.120744467029611,-6.04152693182772e-05,-0.0214639274210188
"POTEF",0.991700414586972,-0.0935283812403454,-0.119984442133812,-0.00240242067897691,-0.020211837839821
"POTEI",0.992559432682764,-0.0923657668304043,-0.126983863176577,-0.0120776372320451,-0.0198210801409684
"POTEJ",0.993128360287721,-0.091036289160108,-0.12684848877649,-0.0165521624556763,-0.0182227083461928
"PZP",0.564078092720914,0.210380259541793,0.365474624291386,0.0401341327046208,-0.21557436507195
"GPR27",-0.391855864377306,0.402594277323377,-0.132281933484792,0.319483153882263,0.162817834749878
"IGHV3-16",0.306935850250907,0.220322217491735,0.641643521521752,-0.204514077617211,-0.198089621853919
"PFN1",0.989604619773025,-0.0917079463566028,-0.124078487831898,-0.00676910071531042,-0.0540001373270045
"FAP",-0.109875887318786,-0.0401503499857399,-0.173450301482956,-0.0125837678045281,-0.364986273003176
"CFP",-0.433348659098532,-0.0422206505656434,-0.472743420129603,-0.423824469246998,-0.453641716930254
"AMBP",0.345993121699635,0.00332063769094668,0.057753930080971,0.794326161711272,0.300351988705179
