fromNode	toNode	weight	direction	fromAltName	toAltName
ORM2	CP	0.265790119737997	undirected	ORM2	CP
ORM2	FBF1	0.0261121612284996	undirected	ORM2	FBF1
ORM2	ITIH3	0.14817003364686	undirected	ORM2	ITIH3
ORM2	LRG1	0.170349925378687	undirected	ORM2	LRG1
SERPINA1	BBOF1	0.0920527780983338	undirected	SERPINA1	BBOF1
SERPINA1	CA1	0.0240404854215527	undirected	SERPINA1	CA1
SERPINA1	CASP14	0.119390681395889	undirected	SERPINA1	CASP14
SERPINA1	CRP	0.177604248776227	undirected	SERPINA1	CRP
SERPINA1	DCD	0.0361968618714522	undirected	SERPINA1	DCD
SERPINA1	ENG	0.0214285005287726	undirected	SERPINA1	ENG
SERPINA1	FCGBP	0.0274789070167312	undirected	SERPINA1	FCGBP
SERPINA1	IGHD	0.109114708198044	undirected	SERPINA1	IGHD
SERPINA1	IGKV2D-28	0.0320173379174598	undirected	SERPINA1	IGKV2D-28
SERPINA1	IL1RAP	0.0412384473141672	undirected	SERPINA1	IL1RAP
SERPINA1	KRT17	0.0256544726055874	undirected	SERPINA1	KRT17
SERPINA1	LCN1	0.13738318845185	undirected	SERPINA1	LCN1
SERPINA1	S100A4	0.160748287770915	undirected	SERPINA1	S100A4
SERPINA1	SAA1	0.147460116321512	undirected	SERPINA1	SAA1
SERPINA1	TEX28	0.0551239576562191	undirected	SERPINA1	TEX28
SERPINA1	PEPD	0.0968859386883452	undirected	SERPINA1	PEPD
ACE	CALD1	0.276014289567219	undirected	ACE	CALD1
ACE	CRP	0.0251276644624962	undirected	ACE	CRP
ACE	DCD	0.0330546043244839	undirected	ACE	DCD
ACE	SLC1A2	0.0426287768674814	undirected	ACE	SLC1A2
ACE	FCGBP	0.0642947115507636	undirected	ACE	FCGBP
ACE	IGHV3-15	0.0209276986022911	undirected	ACE	IGHV3-15
ACE	KRT17	0.327723519512465	undirected	ACE	KRT17
ACE	S100A4	0.0669035835476376	undirected	ACE	S100A4
ACE	S100A6	0.420774667952103	undirected	ACE	S100A6
ACE	SOD1	0.0846689540952736	undirected	ACE	SOD1
ACE	PEPD	0.0216801298886647	undirected	ACE	PEPD
APOL1	KRT10	0.0225983915209228	undirected	APOL1	KRT10
APOL1	KRT25	0.0285823030029628	undirected	APOL1	KRT25
APOL1	KRT26	0.0205926807485307	undirected	APOL1	KRT26
APOL1	KRT27	0.0285823030029628	undirected	APOL1	KRT27
APOL1	KRT28	0.0281566077689131	undirected	APOL1	KRT28
ATRN	SLC4A1	0.111368302517753	undirected	ATRN	SLC4A1
ATRN	BBOF1	0.13720184170526	undirected	ATRN	BBOF1
ATRN	CA1	0.0970345255464688	undirected	ATRN	CA1
ATRN	CA2	0.0365567493180893	undirected	ATRN	CA2
ATRN	CASP14	0.305959607175874	undirected	ATRN	CASP14
ATRN	CRP	0.169764451815824	undirected	ATRN	CRP
ATRN	DCD	0.0355458508735379	undirected	ATRN	DCD
ATRN	ENG	0.0217808321827153	undirected	ATRN	ENG
ATRN	FCGBP	0.074413201913306	undirected	ATRN	FCGBP
ATRN	IGHD	0.220673788821448	undirected	ATRN	IGHD
ATRN	IGKV2D-28	0.0282231333003145	undirected	ATRN	IGKV2D-28
ATRN	IL1RAP	0.057723754269538	undirected	ATRN	IL1RAP
ATRN	KRT6A	0.02465385972415	undirected	ATRN	KRT6A
ATRN	LCN1	0.0948899527850087	undirected	ATRN	LCN1
ATRN	CRAMP1	0.073399050871076	undirected	ATRN	CRAMP1
ATRN	S100A4	0.102035153973937	undirected	ATRN	S100A4
ATRN	SAA1	0.204539565624595	undirected	ATRN	SAA1
ATRN	TEX28	0.36785909240399	undirected	ATRN	TEX28
ATRN	PEPD	0.308726255469807	undirected	ATRN	PEPD
SLC4A1	BBOF1	0.193303841565794	undirected	SLC4A1	BBOF1
SLC4A1	CA1	0.101193545437286	undirected	SLC4A1	CA1
SLC4A1	CA2	0.0344692120961908	undirected	SLC4A1	CA2
SLC4A1	CASP14	0.260649036523726	undirected	SLC4A1	CASP14
SLC4A1	CRP	0.214981458641999	undirected	SLC4A1	CRP
SLC4A1	DCD	0.0427144485849635	undirected	SLC4A1	DCD
SLC4A1	ENG	0.0378257189731253	undirected	SLC4A1	ENG
SLC4A1	FCN2	0.0200313441047593	undirected	SLC4A1	FCN2
SLC4A1	FLG	0.0240185140473498	undirected	SLC4A1	FLG
SLC4A1	FCGBP	0.0803171010140714	undirected	SLC4A1	FCGBP
SLC4A1	IGHD	0.287863552780198	undirected	SLC4A1	IGHD
SLC4A1	IGKV2D-28	0.0569520841854968	undirected	SLC4A1	IGKV2D-28
SLC4A1	IL1RAP	0.0581877240384577	undirected	SLC4A1	IL1RAP
SLC4A1	KRT16	0.0237578262503588	undirected	SLC4A1	KRT16
SLC4A1	KRT6A	0.0397306014228139	undirected	SLC4A1	KRT6A
SLC4A1	LCN1	0.127867751367524	undirected	SLC4A1	LCN1
SLC4A1	NFKB1	0.0440294047624351	undirected	SLC4A1	NFKB1
SLC4A1	PPBP	0.0238190404846966	undirected	SLC4A1	PPBP
SLC4A1	CRAMP1	0.0429642030851203	undirected	SLC4A1	CRAMP1
SLC4A1	S100A4	0.134874140430797	undirected	SLC4A1	S100A4
SLC4A1	SAA1	0.267490895719447	undirected	SLC4A1	SAA1
SLC4A1	TEX28	0.155089769750196	undirected	SLC4A1	TEX28
SLC4A1	PEPD	0.2751858954571	undirected	SLC4A1	PEPD
BBOF1	CA1	0.145047224402106	undirected	BBOF1	CA1
